order_id,customer_id,order_date,product_name,category,quantity,unit_price
ORD-10000,CUST-754,2026-02-12 05:19:29,Mechanical Keyboard,Electronics,1,89.99
ORD-10001,CUST-381,2026-04-18 13:41:47,Sneakers,Clothing,1,79.99
ORD-10002,CUST-854,2026-03-28 01:32:44,Mechanical Keyboard,Electronics,2,89.99
ORD-10003,CUST-658,2026-03-13 08:00:47,4K Monitor,Electronics,1,299.99
ORD-10004,CUST-132,2026-01-04 03:51:49,Wireless Earbuds,Electronics,1,49.99
ORD-10005,CUST-338,2026-01-04 03:43:54,Action Figure,Toys,2,14.99
ORD-10006,CUST-674,2025-12-07 10:38:31,Jacket,Clothing,2,89.99
ORD-10007,CUST-818,2026-04-10 14:03:41,Board Game,Toys,1,39.99
ORD-10008,CUST-559,2026-03-13 14:51:50,Puzzle,Toys,1,19.99
ORD-10009,CUST-106,2026-03-25 12:39:03,Jeans,Clothing,2,49.99
ORD-10010,CUST-448,2025-11-19 21:18:06,Coffee Maker,Home & Garden,1,69.99
ORD-10011,CUST-881,2026-04-20 08:00:26,Tool Set,Home & Garden,1,129.99
ORD-10012,CUST-489,2026-04-07 06:59:34,Mechanical Keyboard,Electronics,1,89.99
ORD-10013,CUST-452,2026-01-16 00:09:58,RC Car,Toys,1,49.99
ORD-10014,CUST-144,2026-01-09 19:35:13,Tennis Racket,Sports,1,119.99
ORD-10015,CUST-487,2026-01-10 03:34:15,4K Monitor,Electronics,1,299.99
ORD-10016,CUST-743,2026-02-01 08:19:51,RC Car,Toys,3,49.99
ORD-10017,CUST-470,2026-03-04 10:54:35,Puzzle,Toys,1,19.99
ORD-10018,CUST-171,2026-02-20 08:42:41,Smartwatch,Electronics,2,149.99
ORD-10019,CUST-891,2026-01-30 04:48:52,Blender,Home & Garden,5,49.99
ORD-10020,CUST-338,2026-03-14 20:38:48,Mechanical Keyboard,Electronics,1,89.99
ORD-10021,CUST-564,2025-12-31 06:58:12,Planter,Home & Garden,1,24.99
ORD-10022,CUST-463,2026-01-30 08:28:34,Jacket,Clothing,2,89.99
ORD-10023,CUST-818,2026-02-11 00:18:03,4K Monitor,Electronics,2,299.99
ORD-10024,CUST-275,2026-02-23 14:55:19,Board Game,Toys,2,39.99
ORD-10025,CUST-267,2026-04-02 13:27:26,Tennis Racket,Sports,1,119.99
ORD-10026,CUST-755,2026-01-13 11:53:06,Board Game,Toys,1,39.99
ORD-10027,CUST-432,2026-03-03 03:22:35,Smartwatch,Electronics,1,149.99
ORD-10028,CUST-132,2026-03-12 14:32:11,Tool Set,Home & Garden,1,129.99
ORD-10029,CUST-167,2025-12-02 20:33:37,Jacket,Clothing,4,89.99
ORD-10030,CUST-680,2026-03-14 08:43:46,Tool Set,Home & Garden,1,129.99
ORD-10031,CUST-611,2026-01-07 09:25:25,Yoga Mat,Sports,3,29.99
ORD-10032,CUST-758,2025-12-09 23:19:25,Tennis Racket,Sports,1,119.99
ORD-10033,CUST-242,2026-04-18 09:38:35,Sneakers,Clothing,2,79.99
ORD-10034,CUST-651,2026-04-19 22:36:52,Coffee Maker,Home & Garden,2,69.99
ORD-10035,CUST-538,2026-04-04 21:39:01,Puzzle,Toys,1,19.99
ORD-10036,CUST-324,2026-02-01 09:47:07,T-Shirt,Clothing,1,19.99
ORD-10037,CUST-193,2025-12-20 07:36:29,Smartwatch,Electronics,3,149.99
ORD-10038,CUST-256,2026-03-22 22:55:57,Jeans,Clothing,2,49.99
ORD-10039,CUST-532,2026-02-21 11:33:32,RC Car,Toys,1,49.99
ORD-10040,CUST-490,2025-12-26 22:38:45,RC Car,Toys,5,49.99
ORD-10041,CUST-641,2026-02-28 17:25:51,Coffee Maker,Home & Garden,5,69.99
ORD-10042,CUST-111,2025-11-27 10:36:19,Mechanical Keyboard,Electronics,2,89.99
ORD-10043,CUST-649,2026-04-14 16:58:36,Coffee Maker,Home & Garden,2,69.99
ORD-10044,CUST-448,2026-01-24 15:06:02,Mechanical Keyboard,Electronics,1,89.99
ORD-10045,CUST-261,2026-03-20 13:46:58,Tennis Racket,Sports,1,119.99
ORD-10046,CUST-839,2026-02-02 13:24:06,Coffee Maker,Home & Garden,5,69.99
ORD-10047,CUST-880,2026-03-03 20:53:54,Jeans,Clothing,1,49.99
ORD-10048,CUST-208,2026-03-07 03:42:01,Blender,Home & Garden,3,49.99
ORD-10049,CUST-619,2026-01-10 10:52:11,RC Car,Toys,1,49.99
ORD-10050,CUST-482,2026-04-20 07:17:38,Jeans,Clothing,1,49.99
ORD-10051,CUST-897,2026-04-01 12:53:48,Action Figure,Toys,4,14.99
ORD-10052,CUST-713,2026-04-17 12:46:39,Tool Set,Home & Garden,1,129.99
ORD-10053,CUST-214,2026-04-13 08:00:58,Planter,Home & Garden,3,24.99
ORD-10054,CUST-414,2026-03-13 05:53:42,Sneakers,Clothing,1,79.99
ORD-10055,CUST-680,2026-04-15 21:18:55,4K Monitor,Electronics,1,299.99
ORD-10056,CUST-597,2025-12-17 14:35:55,4K Monitor,Electronics,5,299.99
ORD-10057,CUST-645,2026-01-12 17:57:37,T-Shirt,Clothing,1,19.99
ORD-10058,CUST-586,2025-12-02 08:13:13,Board Game,Toys,1,39.99
ORD-10059,CUST-640,2026-02-04 17:31:43,RC Car,Toys,1,49.99
ORD-10060,CUST-316,2026-02-14 06:45:31,Board Game,Toys,2,39.99
ORD-10061,CUST-806,2026-01-26 19:50:14,Jacket,Clothing,2,89.99
ORD-10062,CUST-508,2026-04-06 22:12:41,Planter,Home & Garden,1,24.99
ORD-10063,CUST-629,2026-02-09 13:47:02,Tennis Racket,Sports,1,119.99
ORD-10064,CUST-330,2026-01-28 11:14:21,4K Monitor,Electronics,1,299.99
ORD-10065,CUST-702,2026-03-06 15:57:07,Board Game,Toys,1,39.99
ORD-10066,CUST-325,2025-12-31 15:13:16,Wireless Earbuds,Electronics,1,49.99
ORD-10067,CUST-746,2026-04-04 06:43:33,Smartwatch,Electronics,1,149.99
ORD-10068,CUST-132,2025-12-13 05:01:47,Tool Set,Home & Garden,1,129.99
ORD-10069,CUST-343,2026-04-21 21:04:51,Coffee Maker,Home & Garden,2,69.99
ORD-10070,CUST-319,2026-04-01 05:48:17,Board Game,Toys,1,39.99
ORD-10071,CUST-684,2026-01-13 07:14:53,Puzzle,Toys,1,19.99
ORD-10072,CUST-584,2025-11-07 10:31:18,Dumbbells,Sports,1,59.99
